Country,Segment,Date,observed_default_rate,observed_loss_rate,estimated_pd,estimated_lgd
Germany,Retail - Secured on real estate property,Dec-21,0.43%,9.43%,0.69%,18.18%
Germany,Retail - Qualifying Revolving,Dec-21,0.42%,31.43%,0.74%,64.25%
Germany,Retail - Other Retail,Dec-21,1.48%,37.73%,1.66%,46.17%
Greece,Corporates,Dec-21,1.56%,,6.88%,40.11%
Greece,Corporates - Of Which: Specialised Lending,Dec-21,,,3.55%,24.69%
Greece,Corporates - Of Which: SME,Dec-21,3.25%,,16.08%,38.90%
Greece,Retail,Dec-21,7.57%,74.96%,8.28%,25.01%
Greece,Retail - Secured on real estate property,Dec-21,9.66%,,9.55%,13.02%
Greece,Retail - Qualifying Revolving,Dec-21,1.50%,83.29%,3.54%,63.24%
Greece,Retail - Other Retail,Dec-21,7.05%,94.47%,10.09%,34.82%
Hungary,Corporates,Dec-21,0.69%,34.62%,1.83%,37.53%
Hungary,Corporates - Of Which: Specialised Lending,Dec-21,,,3.37%,31.47%
Hungary,Corporates - Of Which: SME,Dec-21,1.09%,32.08%,2.40%,38.66%
Hungary,Retail,Dec-21,2.12%,56.52%,2.64%,43.27%
Hungary,Retail - Secured on real estate property,Dec-21,1.25%,26.93%,1.59%,34.28%
Hungary,Retail - Qualifying Revolving,Dec-21,2.81%,51.95%,2.57%,63.63%
Hungary,Retail - Other Retail,Dec-21,3.05%,62.07%,5.24%,64.86%
Ireland,Corporates,Dec-21,1.99%,17.07%,1.53%,28.28%
Ireland,Corporates - Of Which: Specialised Lending,Dec-21,,,10.19%,26.48%
Ireland,Corporates - Of Which: SME,Dec-21,3.06%,15.60%,3.65%,37.03%
Ireland,Retail,Dec-21,0.87%,16.92%,1.71%,27.46%
Ireland,Retail - Secured on real estate property,Dec-21,0.79%,15.14%,1.50%,24.88%
Ireland,Retail - Qualifying Revolving,Dec-21,0.54%,25.31%,2.11%,59.31%
Ireland,Retail - Other Retail,Dec-21,2.54%,25.76%,5.17%,60.22%
Italy,Corporates,Dec-21,0.67%,24.37%,4.41%,36.06%
Italy,Corporates - Of Which: Specialised Lending,Dec-21,1.90%,,1.85%,20.20%
Italy,Corporates - Of Which: SME,Dec-21,1.28%,25.30%,8.97%,38.40%
Italy,Retail,Dec-21,1.12%,28.55%,2.13%,25.71%
Italy,Retail - Secured on real estate property,Dec-21,0.98%,21.07%,1.52%,19.25%
Italy,Retail - Qualifying Revolving,Dec-21,0.21%,36.89%,3.38%,59.67%
Italy,Retail - Other Retail,Dec-21,1.41%,37.47%,4.20%,38.73%
Latvia,Corporates,Dec-21,3.90%,,1.85%,41.65%
Latvia,Corporates - Of Which: Specialised Lending,Dec-21,,,,
Latvia,Corporates - Of Which: SME,Dec-21,,,2.13%,38.04%
Latvia,Retail,Dec-21,1.06%,39.34%,2.62%,25.87%
Latvia,Retail - Secured on real estate property,Dec-21,1.17%,36.73%,2.11%,20.38%
Latvia,Retail - Qualifying Revolving,Dec-21,21.26%,65.57%,4.96%,65.77%
Latvia,Retail - Other Retail,Dec-21,0.72%,51.18%,4.21%,43.17%
Lithuania,Corporates,Dec-21,,,1.27%,41.68%
Lithuania,Corporates - Of Which: Specialised Lending,Dec-21,,,,
Lithuania,Corporates - Of Which: SME,Dec-21,,,2.28%,40.20%
Lithuania,Retail,Dec-21,0.69%,37.33%,1.50%,18.75%
Lithuania,Retail - Secured on real estate property,Dec-21,0.76%,37.20%,1.24%,15.86%
Lithuania,Retail - Qualifying Revolving,Dec-21,4.53%,65.35%,3.22%,64.39%
Lithuania,Retail - Other Retail,Dec-21,0.31%,39.37%,3.00%,36.24%
Luxembourg,Corporates,Dec-21,0.47%,10.02%,1.43%,30.18%
Luxembourg,Corporates - Of Which: Specialised Lending,Dec-21,0.65%,,0.91%,25.39%
Luxembourg,Corporates - Of Which: SME,Dec-21,0.38%,31.47%,2.12%,28.40%
Luxembourg,Retail,Dec-21,0.32%,12.47%,0.99%,16.31%
Luxembourg,Retail - Secured on real estate property,Dec-21,0.17%,2.94%,0.86%,15.19%
Luxembourg,Retail - Qualifying Revolving,Dec-21,1.69%,39.28%,2.71%,52.89%
Luxembourg,Retail - Other Retail,Dec-21,1.23%,18.17%,1.86%,21.31%
Malta,Corporates,Dec-21,0.00%,,2.29%,20.42%
Malta,Corporates - Of Which: Specialised Lending,Dec-21,,,2.12%,13.50%
Malta,Corporates - Of Which: SME,Dec-21,,,1.12%,25.07%
Malta,Retail,Dec-21,0.17%,57.93%,1.27%,23.44%
Malta,Retail - Secured on real estate property,Dec-21,,,1.41%,17.79%
Malta,Retail - Qualifying Revolving,Dec-21,3.83%,,1.69%,55.61%
Malta,Retail - Other Retail,Dec-21,0.09%,54.48%,1.25%,21.83%
Netherlands,Corporates,Dec-21,0.89%,10.50%,1.13%,26.89%
Netherlands,Corporates - Of Which: Specialised Lending,Dec-21,0.57%,,1.59%,14.70%
Netherlands,Corporates - Of Which: SME,Dec-21,1.68%,10.62%,2.37%,20.32%
Netherlands,Retail,Dec-21,0.50%,8.37%,0.67%,12.54%
Netherlands,Retail - Secured on real estate property,Dec-21,0.45%,4.75%,0.61%,11.32%
Netherlands,Retail - Qualifying Revolving,Dec-21,0.63%,42.06%,2.04%,43.53%
Netherlands,Retail - Other Retail,Dec-21,1.77%,27.11%,2.31%,42.03%
Norway,Corporates,Dec-21,1.45%,55.32%,1.14%,27.07%
Norway,Corporates - Of Which: Specialised Lending,Dec-21,,,1.85%,21.99%
Norway,Corporates - Of Which: SME,Dec-21,,,1.35%,23.52%
Norway,Retail,Dec-21,0.39%,19.51%,0.89%,21.72%
Norway,Retail - Secured on real estate property,Dec-21,0.16%,8.35%,0.63%,19.72%
Norway,Retail - Qualifying Revolving,Dec-21,1.03%,51.47%,1.57%,63.29%
Norway,Retail - Other Retail,Dec-21,1.08%,24.29%,2.00%,29.89%
Poland,Corporates,Dec-21,0.96%,30.46%,1.40%,33.92%
Poland,Corporates - Of Which: Specialised Lending,Dec-21,6.69%,,0.85%,26.88%
Poland,Corporates - Of Which: SME,Dec-21,0.85%,,2.23%,30.04%
Poland,Retail,Dec-21,1.58%,38.05%,1.54%,42.62%
Poland,Retail - Secured on real estate property,Dec-21,0.94%,24.10%,0.70%,34.90%
Poland,Retail - Qualifying Revolving,Dec-21,1.38%,43.22%,2.36%,73.09%
Poland,Retail - Other Retail,Dec-21,3.04%,47.41%,3.67%,57.00%
Portugal,Corporates,Dec-21,2.08%,32.72%,4.09%,40.20%
Portugal,Corporates - Of Which: Specialised Lending,Dec-21,3.57%,,1.61%,31.88%
Portugal,Corporates - Of Which: SME,Dec-21,2.28%,29.63%,7.14%,39.77%
Portugal,Retail,Dec-21,0.79%,20.47%,1.39%,20.50%
Portugal,Retail - Secured on real estate property,Dec-21,0.49%,7.33%,1.03%,17.71%
Portugal,Retail - Qualifying Revolving,Dec-21,0.68%,30.37%,4.33%,38.39%
Portugal,Retail - Other Retail,Dec-21,2.00%,32.49%,3.75%,32.50%
Romania,Corporates,Dec-21,0.39%,71.14%,2.42%,40.96%
Romania,Corporates - Of Which: Specialised Lending,Dec-21,,,4.11%,39.93%
Romania,Corporates - Of Which: SME,Dec-21,1.17%,,3.86%,40.27%
Romania,Retail,Dec-21,1.76%,59.22%,2.45%,49.20%
Romania,Retail - Secured on real estate property,Dec-21,0.58%,,1.55%,38.44%
Romania,Retail - Qualifying Revolving,Dec-21,1.26%,62.55%,1.11%,49.06%
Romania,Retail - Other Retail,Dec-21,3.30%,62.63%,3.40%,58.93%
Slovakia,Corporates,Dec-21,1.14%,49.98%,2.21%,38.56%
Slovakia,Corporates - Of Which: Specialised Lending,Dec-21,0.14%,,11.77%,35.69%
Slovakia,Corporates - Of Which: SME,Dec-21,2.01%,58.30%,3.49%,41.00%
Slovakia,Retail,Dec-21,0.35%,43.39%,1.09%,23.48%
Slovakia,Retail - Secured on real estate property,Dec-21,0.25%,34.46%,0.86%,20.92%
Slovakia,Retail - Qualifying Revolving,Dec-21,0.64%,56.41%,2.20%,55.17%
Slovakia,Retail - Other Retail,Dec-21,1.17%,62.93%,3.21%,43.30%
Slovenia,Corporates,Dec-21,0.10%,,1.61%,38.70%
Slovenia,Corporates - Of Which: Specialised Lending,Dec-21,,,,
Slovenia,Corporates - Of Which: SME,Dec-21,0.40%,,3.86%,38.65%
Slovenia,Retail,Dec-21,4.01%,85.25%,2.71%,34.46%
Slovenia,Retail - Secured on real estate property,Dec-21,,,2.59%,21.08%
Slovenia,Retail - Qualifying Revolving,Dec-21,9.38%,,1.50%,65.07%
Slovenia,Retail - Other Retail,Dec-21,1.17%,44.24%,3.01%,45.65%
Spain,Corporates,Dec-21,3.12%,21.09%,2.48%,40.59%
Spain,Corporates - Of Which: Specialised Lending,Dec-21,6.17%,27.88%,1.39%,21.88%
Spain,Corporates - Of Which: SME,Dec-21,3.90%,22.07%,4.69%,38.76%
Spain,Retail,Dec-21,2.10%,26.31%,1.90%,28.75%
Spain,Retail - Secured on real estate property,Dec-21,1.83%,17.95%,1.34%,21.64%
Spain,Retail - Qualifying Revolving,Dec-21,0.86%,53.35%,2.81%,62.17%
Spain,Retail - Other Retail,Dec-21,3.56%,38.37%,3.83%,51.79%
Sweden,Corporates,Dec-21,0.07%,17.77%,0.59%,24.93%
Sweden,Corporates - Of Which: Specialised Lending,Dec-21,,,1.36%,26.14%
Sweden,Corporates - Of Which: SME,Dec-21,0.14%,15.87%,0.62%,18.15%
Sweden,Retail,Dec-21,0.11%,14.67%,0.32%,12.47%
Sweden,Retail - Secured on real estate property,Dec-21,0.07%,4.75%,0.26%,10.76%
Sweden,Retail - Qualifying Revolving,Dec-21,1.10%,53.13%,1.57%,63.88%
Sweden,Retail - Other Retail,Dec-21,0.60%,30.54%,1.32%,35.92%
United Kingdom,Corporates,Dec-21,1.38%,25.02%,1.12%,34.79%
United Kingdom,Corporates - Of Which: Specialised Lending,Dec-21,4.11%,20.88%,1.90%,25.78%
United Kingdom,Corporates - Of Which: SME,Dec-21,8.58%,31.73%,2.84%,28.88%
United Kingdom,Retail,Dec-21,3.03%,5.99%,2.57%,12.62%
United Kingdom,Retail - Secured on real estate property,Dec-21,3.17%,4.29%,2.59%,8.84%
United Kingdom,Retail - Qualifying Revolving,Dec-21,1.12%,49.12%,1.98%,71.09%
United Kingdom,Retail - Other Retail,Dec-21,1.93%,53.02%,2.66%,51.20%
Australia,Corporates,Dec-21,0.67%,11.44%,1.45%,20.65%
Australia,Corporates - Of Which: Specialised Lending,Dec-21,,,0.96%,16.38%
Australia,Corporates - Of Which: SME,Dec-21,,,0.83%,9.86%
Australia,Retail,Dec-21,1.07%,4.37%,0.46%,9.40%
Australia,Retail - Secured on real estate property,Dec-21,1.05%,3.46%,0.40%,8.65%
Australia,Retail - Qualifying Revolving,Dec-21,0.56%,38.63%,1.08%,59.66%
Australia,Retail - Other Retail,Dec-21,1.87%,20.79%,2.18%,30.56%
Canada,Corporates,Dec-21,0.48%,,0.91%,28.23%
Canada,Corporates - Of Which: Specialised Lending,Dec-21,,,1.47%,25.20%
Canada,Corporates - Of Which: SME,Dec-21,,,1.07%,21.77%
Canada,Retail,Dec-21,1.41%,13.97%,2.20%,18.82%
Canada,Retail - Secured on real estate property,Dec-21,0.96%,,0.91%,15.72%
Canada,Retail - Qualifying Revolving,Dec-21,0.73%,31.36%,2.08%,52.98%
Canada,Retail - Other Retail,Dec-21,1.57%,13.74%,2.49%,19.11%
China,Corporates,Dec-21,,,0.72%,47.05%
China,Corporates - Of Which: Specialised Lending,Dec-21,,,1.45%,29.09%
China,Corporates - Of Which: SME,Dec-21,,,2.50%,38.27%
China,Retail,Dec-21,0.38%,11.79%,0.63%,16.54%
China,Retail - Secured on real estate property,Dec-21,2.61%,,0.69%,15.26%
China,Retail - Qualifying Revolving,Dec-21,1.34%,42.16%,1.15%,56.47%
China,Retail - Other Retail,Dec-21,0.38%,40.42%,0.79%,16.95%
Hong Kong,Corporates,Dec-21,1.88%,,1.45%,32.13%
Hong Kong,Corporates - Of Which: Specialised Lending,Dec-21,,,1.12%,18.11%
Hong Kong,Corporates - Of Which: SME,Dec-21,,,3.95%,36.11%
Hong Kong,Retail,Dec-21,0.13%,,0.50%,15.79%
Hong Kong,Retail - Secured on real estate property,Dec-21,0.09%,,0.72%,15.68%
Hong Kong,Retail - Qualifying Revolving,Dec-21,,,1.31%,50.32%
Hong Kong,Retail - Other Retail,Dec-21,0.44%,,0.40%,14.67%
India,Corporates,Dec-21,,,1.85%,39.73%
India,Corporates - Of Which: Specialised Lending,Dec-21,,,1.64%,18.56%
India,Corporates - Of Which: SME,Dec-21,,,3.87%,37.21%
India,Retail,Dec-21,0.75%,53.62%,1.08%,32.80%
India,Retail - Secured on real estate property,Dec-21,0.00%,,1.01%,20.53%
India,Retail - Qualifying Revolving,Dec-21,4.12%,49.53%,3.11%,55.74%
India,Retail - Other Retail,Dec-21,0.92%,57.14%,1.24%,42.99%
"Korea, Republic Of",Corporates,Dec-21,,,0.41%,41.01%
"Korea, Republic Of",Corporates - Of Which: Specialised Lending,Dec-21,,,0.63%,22.81%
"Korea, Republic Of",Corporates - Of Which: SME,Dec-21,,,1.98%,41.03%
"Korea, Republic Of",Retail,Dec-21,0.54%,7.67%,1.39%,43.71%
"Korea, Republic Of",Retail - Secured on real estate property,Dec-21,,,0.29%,15.65%
"Korea, Republic Of",Retail - Qualifying Revolving,Dec-21,,,1.19%,59.83%
"Korea, Republic Of",Retail - Other Retail,Dec-21,0.52%,72.74%,1.42%,44.50%
Russian Federation,Corporates,Dec-21,0.12%,,0.57%,39.46%
Russian Federation,Corporates - Of Which: Specialised Lending,Dec-21,,,0.95%,21.34%
Russian Federation,Corporates - Of Which: SME,Dec-21,,,2.76%,43.77%
Russian Federation,Retail,Dec-21,5.96%,16.01%,2.27%,23.18%
Russian Federation,Retail - Secured on real estate property,Dec-21,7.03%,16.04%,2.27%,21.98%
Russian Federation,Retail - Qualifying Revolving,Dec-21,2.83%,36.30%,1.91%,62.04%
Russian Federation,Retail - Other Retail,Dec-21,3.99%,17.47%,1.98%,19.46%
Singapore,Corporates,Dec-21,1.94%,,1.41%,29.29%
Singapore,Corporates - Of Which: Specialised Lending,Dec-21,,,1.76%,20.51%
Singapore,Corporates - Of Which: SME,Dec-21,,,5.59%,25.63%
Singapore,Retail,Dec-21,0.35%,10.70%,0.53%,11.55%
Singapore,Retail - Secured on real estate property,Dec-21,0.41%,,0.69%,14.93%
Singapore,Retail - Qualifying Revolving,Dec-21,1.09%,,0.74%,54.02%
Singapore,Retail - Other Retail,Dec-21,0.04%,24.43%,0.43%,9.72%
Switzerland,Corporates,Dec-21,0.41%,11.72%,0.81%,31.35%
Switzerland,Corporates - Of Which: Specialised Lending,Dec-21,,,0.72%,23.19%
Switzerland,Corporates - Of Which: SME,Dec-21,,,2.29%,31.65%
Switzerland,Retail,Dec-21,0.47%,11.72%,0.72%,21.10%
Switzerland,Retail - Secured on real estate property,Dec-21,0.31%,13.57%,0.71%,19.88%
Switzerland,Retail - Qualifying Revolving,Dec-21,0.72%,32.82%,1.90%,52.54%
Switzerland,Retail - Other Retail,Dec-21,1.68%,9.64%,1.04%,20.60%
United States,Corporates,Dec-21,0.60%,22.40%,1.19%,26.99%
United States,Corporates - Of Which: Specialised Lending,Dec-21,1.96%,11.30%,2.28%,20.19%
United States,Corporates - Of Which: SME,Dec-21,0.45%,,2.28%,21.16%
United States,Retail,Dec-21,2.19%,17.04%,2.05%,25.70%
United States,Retail - Secured on real estate property,Dec-21,1.37%,,1.01%,16.72%
United States,Retail - Qualifying Revolving,Dec-21,0.68%,31.86%,1.51%,58.53%
United States,Retail - Other Retail,Dec-21,2.56%,17.21%,2.33%,27.65%
Austria,Corporates,Sep-21,1.06%,41.01%,1.28%,34.15%
Austria,Corporates - Of Which: Specialised Lending,Sep-21,,,0.94%,16.80%
Austria,Corporates - Of Which: SME,Sep-21,1.42%,18.07%,2.54%,29.37%
Austria,Retail,Sep-21,0.72%,26.95%,1.59%,29.83%
Austria,Retail - Secured on real estate property,Sep-21,0.54%,7.75%,1.34%,15.78%
Austria,Retail - Qualifying Revolving,Sep-21,0.74%,55.67%,2.29%,84.94%
Austria,Retail - Other Retail,Sep-21,1.11%,40.69%,2.24%,52.02%
Belgium,Corporates,Sep-21,1.73%,16.67%,2.39%,26.73%
Belgium,Corporates - Of Which: Specialised Lending,Sep-21,,,1.33%,22.24%
Belgium,Corporates - Of Which: SME,Sep-21,1.68%,15.56%,2.55%,24.45%
Belgium,Retail,Sep-21,0.90%,8.81%,1.00%,16.99%
Belgium,Retail - Secured on real estate property,Sep-21,0.81%,3.27%,0.90%,13.21%
Belgium,Retail - Qualifying Revolving,Sep-21,1.21%,18.07%,0.71%,49.60%
Belgium,Retail - Other Retail,Sep-21,1.26%,23.05%,1.57%,32.53%
Bulgaria,Corporates,Sep-21,3.79%,,1.84%,44.36%
Bulgaria,Corporates - Of Which: Specialised Lending,Sep-21,,,71.46%,55.94%
Bulgaria,Corporates - Of Which: SME,Sep-21,7.88%,,3.51%,41.20%
Bulgaria,Retail,Sep-21,3.53%,61.16%,3.29%,33.82%
Bulgaria,Retail - Secured on real estate property,Sep-21,3.01%,49.86%,3.37%,25.43%
Bulgaria,Retail - Qualifying Revolving,Sep-21,2.69%,93.06%,2.31%,35.59%
Bulgaria,Retail - Other Retail,Sep-21,5.08%,72.91%,3.51%,57.45%
Croatia,Corporates,Sep-21,0.82%,,4.01%,40.83%
Croatia,Corporates - Of Which: Specialised Lending,Sep-21,,,0.68%,19.53%
Croatia,Corporates - Of Which: SME,Sep-21,,,5.50%,41.14%
Croatia,Retail,Sep-21,1.15%,15.82%,2.42%,42.85%
Croatia,Retail - Secured on real estate property,Sep-21,,,1.70%,33.75%
Croatia,Retail - Qualifying Revolving,Sep-21,1.52%,53.95%,2.35%,61.92%
Croatia,Retail - Other Retail,Sep-21,1.55%,15.41%,2.90%,48.38%
Cyprus,Corporates,Sep-21,0.16%,18.59%,4.21%,30.65%
Cyprus,Corporates - Of Which: Specialised Lending,Sep-21,,,6.00%,22.33%
Cyprus,Corporates - Of Which: SME,Sep-21,,,4.83%,16.04%
Cyprus,Retail,Sep-21,2.28%,21.39%,1.20%,35.75%
Cyprus,Retail - Secured on real estate property,Sep-21,4.31%,,0.98%,14.20%
Cyprus,Retail - Qualifying Revolving,Sep-21,1.55%,65.71%,1.45%,61.04%
Cyprus,Retail - Other Retail,Sep-21,0.85%,50.50%,1.28%,41.38%
Czech,Corporates,Sep-21,0.85%,39.11%,2.36%,33.52%
Czech,Corporates - Of Which: Specialised Lending,Sep-21,0.45%,31.90%,1.72%,28.41%
Czech,Corporates - Of Which: SME,Sep-21,1.68%,33.37%,3.21%,31.61%
Czech,Retail,Sep-21,0.83%,33.90%,1.31%,26.39%
Czech,Retail - Secured on real estate property,Sep-21,0.53%,19.21%,1.01%,20.43%
Czech,Retail - Qualifying Revolving,Sep-21,0.63%,50.02%,1.44%,54.85%
Czech,Retail - Other Retail,Sep-21,1.70%,46.42%,2.20%,40.64%
Denmark,Corporates,Sep-21,0.61%,16.46%,1.04%,22.33%
Denmark,Corporates - Of Which: Specialised Lending,Sep-21,,,1.72%,22.81%
Denmark,Corporates - Of Which: SME,Sep-21,0.36%,23.43%,1.35%,20.78%
Denmark,Retail,Sep-21,0.51%,12.15%,0.82%,18.43%
Denmark,Retail - Secured on real estate property,Sep-21,0.50%,9.33%,0.77%,16.27%
Denmark,Retail - Qualifying Revolving,Sep-21,1.66%,28.44%,1.75%,60.81%
Denmark,Retail - Other Retail,Sep-21,0.53%,35.55%,1.83%,43.19%
Estonia,Corporates,Sep-21,1.04%,,1.73%,41.50%
Estonia,Corporates - Of Which: Specialised Lending,Sep-21,,,1.05%,31.16%
Estonia,Corporates - Of Which: SME,Sep-21,,,1.72%,39.83%
Estonia,Retail,Sep-21,0.68%,28.95%,1.37%,16.08%
Estonia,Retail - Secured on real estate property,Sep-21,0.65%,28.51%,1.10%,13.29%
Estonia,Retail - Qualifying Revolving,Sep-21,0.66%,66.50%,3.05%,59.12%
Estonia,Retail - Other Retail,Sep-21,0.70%,30.81%,2.68%,29.58%
Finland,Corporates,Sep-21,1.27%,14.85%,1.04%,35.06%
Finland,Corporates - Of Which: Specialised Lending,Sep-21,,,0.61%,27.59%
Finland,Corporates - Of Which: SME,Sep-21,1.73%,11.92%,1.53%,31.79%
Finland,Retail,Sep-21,1.14%,4.19%,1.53%,20.51%
Finland,Retail - Secured on real estate property,Sep-21,1.13%,2.88%,1.16%,16.76%
Finland,Retail - Qualifying Revolving,Sep-21,1.51%,26.17%,1.77%,61.35%
Finland,Retail - Other Retail,Sep-21,1.18%,9.00%,3.28%,33.40%
France,Corporates,Sep-21,0.66%,21.36%,1.73%,34.26%
France,Corporates - Of Which: Specialised Lending,Sep-21,0.67%,3.21%,1.21%,21.18%
France,Corporates - Of Which: SME,Sep-21,1.41%,24.90%,2.73%,34.56%
France,Retail,Sep-21,0.48%,21.22%,1.42%,17.10%
France,Retail - Secured on real estate property,Sep-21,0.29%,10.51%,1.06%,12.62%
France,Retail - Qualifying Revolving,Sep-21,0.77%,40.97%,2.71%,34.66%
France,Retail - Other Retail,Sep-21,0.83%,26.53%,1.80%,23.17%
Germany,Corporates,Sep-21,0.51%,30.10%,0.94%,36.42%
Germany,Corporates - Of Which: Specialised Lending,Sep-21,1.02%,29.85%,0.93%,32.90%
Germany,Corporates - Of Which: SME,Sep-21,0.71%,35.88%,1.11%,33.02%
Germany,Retail,Sep-21,0.61%,24.04%,0.92%,28.11%
Germany,Retail - Secured on real estate property,Sep-21,0.38%,8.66%,0.72%,18.17%
Germany,Retail - Qualifying Revolving,Sep-21,0.46%,27.65%,0.70%,64.67%
Germany,Retail - Other Retail,Sep-21,1.35%,35.62%,1.68%,46.42%
Greece,Corporates,Sep-21,0.99%,,9.56%,38.94%
Greece,Corporates - Of Which: Specialised Lending,Sep-21,,,3.71%,25.36%
Greece,Corporates - Of Which: SME,Sep-21,,,19.60%,39.57%
Greece,Retail,Sep-21,7.64%,73.14%,10.47%,28.97%
Greece,Retail - Secured on real estate property,Sep-21,9.09%,,10.30%,18.98%
Greece,Retail - Qualifying Revolving,Sep-21,1.93%,66.61%,3.85%,63.34%
Greece,Retail - Other Retail,Sep-21,8.30%,79.25%,12.71%,37.74%
Hungary,Corporates,Sep-21,0.99%,33.87%,2.10%,42.83%
Hungary,Corporates - Of Which: Specialised Lending,Sep-21,,,3.35%,32.46%
Hungary,Corporates - Of Which: SME,Sep-21,1.49%,36.08%,2.73%,45.19%
Hungary,Retail,Sep-21,1.06%,54.33%,2.82%,43.14%
Hungary,Retail - Secured on real estate property,Sep-21,1.01%,50.70%,1.92%,33.74%
Hungary,Retail - Qualifying Revolving,Sep-21,2.62%,49.26%,3.89%,63.16%
Hungary,Retail - Other Retail,Sep-21,1.78%,58.47%,4.97%,65.34%
Ireland,Corporates,Sep-21,2.25%,23.04%,1.33%,27.56%
Ireland,Corporates - Of Which: Specialised Lending,Sep-21,,,11.84%,28.70%
Ireland,Corporates - Of Which: SME,Sep-21,3.56%,17.54%,3.79%,35.90%
Ireland,Retail,Sep-21,0.97%,15.81%,2.14%,27.38%
Ireland,Retail - Secured on real estate property,Sep-21,0.89%,13.84%,1.99%,24.78%
Ireland,Retail - Qualifying Revolving,Sep-21,0.54%,22.53%,2.16%,59.57%
Ireland,Retail - Other Retail,Sep-21,2.87%,26.15%,4.46%,60.16%
Italy,Corporates,Sep-21,0.58%,24.78%,4.84%,36.40%
Italy,Corporates - Of Which: Specialised Lending,Sep-21,0.92%,18.48%,2.45%,21.04%
Italy,Corporates - Of Which: SME,Sep-21,1.06%,26.04%,10.39%,38.79%
Italy,Retail,Sep-21,1.83%,36.08%,2.10%,26.15%
Italy,Retail - Secured on real estate property,Sep-21,1.66%,29.90%,1.39%,19.81%
Italy,Retail - Qualifying Revolving,Sep-21,0.19%,34.65%,3.50%,61.66%
Italy,Retail - Other Retail,Sep-21,2.17%,44.43%,5.36%,40.03%
Latvia,Corporates,Sep-21,5.59%,,1.66%,41.72%
Latvia,Corporates - Of Which: Specialised Lending,Sep-21,,,,
Latvia,Corporates - Of Which: SME,Sep-21,,,1.92%,38.73%
Latvia,Retail,Sep-21,1.30%,37.70%,2.68%,25.87%
Latvia,Retail - Secured on real estate property,Sep-21,1.40%,35.22%,2.10%,20.23%
Latvia,Retail - Qualifying Revolving,Sep-21,18.41%,68.95%,8.56%,62.81%
Latvia,Retail - Other Retail,Sep-21,1.02%,46.86%,4.38%,43.05%
Lithuania,Corporates,Sep-21,2.67%,70.24%,1.26%,41.46%
Lithuania,Corporates - Of Which: Specialised Lending,Sep-21,,,,
Lithuania,Corporates - Of Which: SME,Sep-21,9.80%,,2.15%,39.85%
Lithuania,Retail,Sep-21,1.00%,38.03%,1.41%,18.45%
Lithuania,Retail - Secured on real estate property,Sep-21,1.08%,37.78%,1.18%,15.83%
Lithuania,Retail - Qualifying Revolving,Sep-21,3.99%,49.17%,4.01%,63.07%
Lithuania,Retail - Other Retail,Sep-21,0.51%,41.63%,2.90%,36.54%
Luxembourg,Corporates,Sep-21,0.43%,10.64%,1.54%,29.97%
Luxembourg,Corporates - Of Which: Specialised Lending,Sep-21,0.72%,,0.91%,24.91%
Luxembourg,Corporates - Of Which: SME,Sep-21,0.38%,28.50%,2.21%,30.19%
Luxembourg,Retail,Sep-21,0.36%,10.31%,1.02%,16.24%
Luxembourg,Retail - Secured on real estate property,Sep-21,0.23%,3.01%,0.87%,15.03%
Luxembourg,Retail - Qualifying Revolving,Sep-21,1.33%,42.48%,2.67%,52.30%
Luxembourg,Retail - Other Retail,Sep-21,1.27%,15.91%,1.89%,21.37%
Malta,Corporates,Sep-21,0.18%,,2.38%,20.19%
Malta,Corporates - Of Which: Specialised Lending,Sep-21,,,2.75%,12.22%
Malta,Corporates - Of Which: SME,Sep-21,,,1.19%,24.08%
Malta,Retail,Sep-21,0.50%,51.56%,1.23%,22.14%
Malta,Retail - Secured on real estate property,Sep-21,,,1.44%,17.72%
Malta,Retail - Qualifying Revolving,Sep-21,1.05%,,1.45%,54.84%
Malta,Retail - Other Retail,Sep-21,1.99%,52.94%,1.03%,20.60%
Netherlands,Corporates,Sep-21,1.09%,11.91%,1.26%,26.98%
Netherlands,Corporates - Of Which: Specialised Lending,Sep-21,0.54%,7.33%,1.55%,14.90%
Netherlands,Corporates - Of Which: SME,Sep-21,2.12%,11.95%,2.57%,20.02%
Netherlands,Retail,Sep-21,0.50%,9.39%,0.64%,12.01%
Netherlands,Retail - Secured on real estate property,Sep-21,0.44%,5.25%,0.57%,10.72%
Netherlands,Retail - Qualifying Revolving,Sep-21,0.47%,40.64%,2.44%,49.24%
Netherlands,Retail - Other Retail,Sep-21,1.79%,28.20%,2.34%,41.99%
Norway,Corporates,Sep-21,1.08%,50.99%,1.20%,26.95%
Norway,Corporates - Of Which: Specialised Lending,Sep-21,,,2.07%,21.28%
Norway,Corporates - Of Which: SME,Sep-21,,,1.25%,23.64%
Norway,Retail,Sep-21,0.31%,20.41%,0.89%,21.74%
Norway,Retail - Secured on real estate property,Sep-21,0.12%,8.34%,0.63%,19.72%
Norway,Retail - Qualifying Revolving,Sep-21,1.16%,30.96%,1.75%,59.75%
Norway,Retail - Other Retail,Sep-21,0.97%,23.98%,1.98%,29.80%
Poland,Corporates,Sep-21,0.57%,29.07%,1.44%,36.50%
Poland,Corporates - Of Which: Specialised Lending,Sep-21,1.89%,,0.98%,38.88%
Poland,Corporates - Of Which: SME,Sep-21,0.68%,,2.22%,30.72%
Poland,Retail,Sep-21,1.50%,37.22%,1.58%,42.56%
